,home_id,year,market_val_cleaned,assessed_val_cleaned,zip code,ratio,,,,,,,
243,640,2019,525000,442600,78703,1.186172616,,,,,,,
244,710,2018,1850000,154000,78653,12.01298701,,,,,,,
245,712,2019,1399000,534917,78748,2.615359018,,,,,,,
246,736,2019,357000,180986,78744,1.972528262,,,,,,,
247,738,2017,645000,197913,78704,3.259007746,,,,,,,
248,740,2014,449900,214622,78726,2.096243628,,,,,,,
249,740,2014,475000,214622,78726,2.213193428,,,,,,,
250,749,2019,14900000,379750,78735,39.2363397,,,,,,,
251,749,2013,9700000,260383,78735,37.25281604,,,,,,,
252,749,2012,10900000,266888,78735,40.84110189,,,,,,,
253,749,2012,12000000,266888,78735,44.96268097,,,,,,,
254,755,2010,257000,121841,78727,2.109306391,,,,,,,
255,758,2017,225000,497070,78744,0.452652544,,,,,,,
256,767,2019,273000,219613,78758,1.243095809,,,,,,,
257,767,2013,154200,86414,78758,1.784433078,,,,,,,
258,413,2011,439000,288933,78705,1.519383386,,,,,,,
259,480,2011,179900,79435,78705,2.26474476,,,,,,,
260,4,2017,645000,335368,78705,1.923260418,,,,,,,
261,328,2017,149900,206901,78705,0.72450109,,,,,,,
262,413,2017,740000,1074505,78705,0.68868921,,,,,,,
263,419,2017,282000,75000,78705,3.76,,,,,,,
264,259,2018,229900,2917354,78705,0.078804286,,,,,,,
265,287,2018,319900,259914,78705,1.230791723,,,,,,,
266,150,2019,163500,149724,78705,1.092009297,,,,,,,
267,390,2019,395000,208755,78705,1.892170247,,,,,,,
268,413,2019,740000,1119531,78705,0.660991076,,,,,,,
269,480,2019,310000,66525,78705,4.659902292,,,,,,,
270,2,2019,357000,323379,78660,1.10396779,,,,,,,
271,97,2010,150000,149136,78753,1.00579337,,,,,,,
272,15,2013,9700000,4709143,78753,2.059822775,,,,,,,
273,97,2013,100000,142144,78753,0.703511932,,,,,,,
274,6,2014,475000,379370,78753,1.25207581,,,,,,,
275,6,2014,449900,379370,78753,1.185913488,,,,,,,
276,106,2016,210000,131006,78753,1.602980016,,,,,,,
277,214,2018,89000,270500,78753,0.329020333,,,,,,,
278,325,2018,89000,451417,78753,0.197156952,,,,,,,
279,15,2019,14900000,5096400,78753,2.923632368,,,,,,,
280,97,2019,495000,255303,78753,1.938872634,,,,,,,
281,151,2019,95000,82500,78753,1.151515152,,,,,,,
282,214,2019,95000,321839,78753,0.295178645,,,,,,,
283,214,2019,79000,321839,78753,0.245464347,,,,,,,
284,325,2019,95000,577652,78753,0.164458878,,,,,,,
285,325,2019,79000,577652,78753,0.136760541,,,,,,,
286,22,2010,1250000,950000,78750,1.315789474,,,,,,,
287,179,2011,189900,139464,78723,1.361641714,,,,,,,
288,60,2014,305000,235765,78723,1.293661061,,,,,,,
289,60,2015,398900,280000,78723,1.424642857,,,,,,,
290,24,2017,225000,175039,78723,1.285427819,,,,,,,
291,55,2018,325000,374981,78723,0.86671058,,,,,,,
292,229,2019,445000,426421,78723,1.043569618,,,,,,,
293,27,2011,474388,378190,78757,1.254364208,,,,,,,
294,27,2012,435000,378190,78757,1.1502155,,,,,,,
295,27,2013,438000,416009,78757,1.052861837,,,,,,,
296,240,2018,190000,226315,78757,0.839537812,,,,,,,
297,219,2019,399000,428200,78757,0.931807567,,,,,,,
298,240,2019,191000,247429,78757,0.771938617,,,,,,,
