id,home_id,date,value
4204,509,985307592054,13699
4205,509,953771592054,13595
4206,517,1553297599766,32040
4207,517,1521761599766,20780
4208,517,1490225599766,19704
4209,517,1458689599766,19704
4210,517,1427067199766,19284
4211,517,1395531199766,18212
4212,517,1363995199766,17317
4213,517,1332459199766,16420
4214,517,1300836799766,16420
4215,517,1269300799766,16070
4216,517,1237764799766,15177
4217,517,1206228799766,14431
4218,517,1174606399766,13684
4219,517,1143073999766,13684
4220,517,1111537999766,13392
4221,517,1080001999766,12648
4222,517,1048379599766,12026
4223,517,1016843599766,11404
4224,517,985307599766,11404
4225,517,953771599766,11160
4226,518,1553297600972,1613250
4227,518,1490225600972,1549350
4228,518,1458689600972,1353600
4229,518,1427067200972,1165500
4230,518,1395531200972,1041750
4231,518,1363995200972,946800
4232,518,1332459200972,954450
4233,518,1300836800972,905850
4234,518,1269300800972,855000
4235,518,1237764800972,1075500
4236,518,1206228800972,904500
4237,518,1174606400972,900000
4238,518,1143074000972,360900
4239,518,1111538000972,346050
4240,518,1080002000972,324450
4241,518,1048379600972,263700
4242,518,1016843600972,270000
4243,518,985307600972,297900
4244,518,953771600972,278100
4245,519,1553297602143,18960
4246,519,1521761602143,12816
4247,519,1490225602143,12718
4248,519,1458689602143,11999
4249,519,1427067202143,11320
4250,519,1395531202143,10680
4251,519,1363995202143,10740
4252,519,1332459202143,10680
4253,519,1300836802143,10740
4254,519,1269300802143,10520
4255,519,1237764802143,9925
4256,519,1206228802143,9364
4257,519,1174606402143,8950
4258,519,1143074002143,8950
4259,519,1111538002143,8768
4260,519,1080002002143,8272
4261,519,1048379602143,7804
4262,519,1016843602143,7459
4263,519,985307602143,7459
4264,519,953771602143,7307
4265,521,1269300804208,null
4266,521,1237764804208,null
4267,521,1206228804208,null
4268,521,1174606404208,null
4269,522,1553297605556,168000
4270,522,1490225605556,152234
4271,522,1458689605556,139500
4272,522,1427067205556,131400
4273,522,1395531205556,131400
4274,522,1363995205556,102150
4275,522,1332459205556,92250
4276,522,1300836805556,83700
4277,522,1269300805556,83700
4278,522,1237764805556,83700
4279,522,1206228805556,83700
4280,522,1174606405556,161550
4281,522,1143074005556,39645
4282,522,1111538005556,39870
4283,522,1080002005556,38880
4284,522,1048379605556,16245
4285,522,1016843605556,16245
4286,522,985307605556,15750
4287,522,953771605556,14400
4288,524,1553297607343,26940
4289,524,1521761607343,24613
4290,524,1490225607343,23220
4291,524,1458689607343,23940
4292,524,1427067207343,25344
4293,524,1395531207343,24240
4294,524,1363995207343,23160
4295,524,1332459207343,22387
4296,524,1300836807343,21120
4297,524,1269300807343,21427
4298,524,1237764807343,20620
4299,524,1206228807343,19584
4300,524,1174606407343,19584
4301,524,1143074007343,18926
4302,524,1111538007343,17856
4303,524,1080002007343,17184
4304,524,1048379607343,16320
4305,524,1016843607343,16320
4306,524,985307607343,15772
4307,524,953771607343,14880
4308,526,1553297609161,38100
4309,526,1521761609161,28941
4310,527,1553297610106,1698300
4311,527,1521761610106,1575900
4312,527,1490225610106,1461150
4313,528,1521761611233,45590
4314,528,1490225611233,43010
4315,528,1458689611233,40576
4316,528,1427067211233,38280
4317,528,1395531211233,38280
4318,529,1553297612275,119520
4319,529,1521761612275,42976
4320,529,1490225612275,40825
4321,529,1458689612275,38674
4322,529,1427067212275,38666
4323,529,1395531212275,37960
4324,529,1363995212275,35814
4325,529,1332459212275,34021
4326,529,1300836812275,32229
4327,529,1269300812275,32222
4328,529,1237764812275,31634
4329,529,1206228812275,29845
4330,529,1174606412275,28351
4331,529,1143074012275,26858
4332,529,1111538012275,26852
4333,529,1080002012275,26362
4334,529,1048379612275,24871
4335,529,1016843612275,23626
4336,529,985307612275,22382
4337,529,953771612275,22377
4338,531,1269300814316,null
4339,531,1237764814316,null
4340,531,1206228814316,null
4341,531,1174606414316,null
4342,532,1553297615230,98520
4343,532,1521761615230,29378
4344,532,1490225615230,27945
4345,532,1458689615230,27199
4346,532,1427067215230,27195
4347,532,1395531215230,25677
4348,532,1363995215230,24482
4349,532,1332459215230,23288
4350,532,1300836815230,22666
4351,532,1269300815230,22663
4352,532,1237764815230,21398
4353,532,1206228815230,20402
4354,532,1174606415230,19407
4355,532,1143074015230,18889
4356,532,1111538015230,18886
4357,532,1080002015230,17832
4358,532,1048379615230,17002
4359,532,1016843615230,16173
4360,532,985307615230,15741
4361,532,953771615230,15739
4362,536,1553297618565,54540
4363,536,1521761618565,33934
4364,536,1490225618565,32014
4365,536,1458689618565,31886
4366,536,1427067218565,31771
4367,536,1395531218565,29974
4368,536,1363995218565,28279
4369,536,1332459218565,26679
4370,536,1300836818565,26572
4371,536,1269300818565,26476
4372,536,1237764818565,24979
4373,536,1206228818565,23566
4374,536,1174606418565,22233
4375,536,1143074018565,22144
4376,536,1111538018565,22064
4377,536,1080002018565,20816
4378,536,1048379618565,19639
4379,536,1016843618565,18528
4380,536,985307618565,18454
4381,536,953771618565,18387
4382,537,1553297619640,80160
4383,537,1521761619640,49248
4384,537,1490225619640,47475
4385,537,1458689619640,44788
4386,537,1427067219640,43545
4387,537,1395531219640,41472
4388,537,1363995219640,41040
4389,537,1332459219640,39563
4390,537,1300836819640,37324
4391,537,1269300819640,36288
4392,537,1237764819640,34560
4393,537,1206228819640,34560
4394,537,1174606419640,32970
4395,537,1143074019640,31104
4396,537,1111538019640,30240
4397,537,1080002019640,28800
4398,537,1048379619640,28800
4399,537,1016843619640,27475
4400,537,985307619640,25920
4401,537,953771619640,25200
4402,539,1553297621543,31080
4403,539,1521761621543,21432
4404,539,1490225621543,20220
4405,539,1458689621543,19076
4406,539,1427067221543,19076
4407,539,1395531221543,18931
4408,539,1363995221543,17860
4409,539,1332459221543,16850
4410,539,1300836821543,15897
4411,539,1269300821543,15897
4412,539,1237764821543,15777
4413,539,1206228821543,14884
4414,539,1174606421543,14042
4415,539,1143074021543,13248
4416,539,1111538021543,13248
4417,539,1080002021543,13148
4418,539,1048379621543,12404
4419,539,1016843621543,11702
4420,539,985307621543,11040
4421,539,953771621543,11040
4422,540,1553297622701,60600
4423,540,1521761622701,25437
4424,540,1490225622701,24004
4425,540,1458689622701,23736
4426,540,1427067222701,23736
4427,540,1395531222701,22394
4428,540,1363995222701,21198
4429,540,1332459222701,20004
4430,540,1300836822701,19780
4431,540,1269300822701,19780
4432,540,1237764822701,18662
4433,540,1206228822701,17665
4434,540,1174606422701,16670
4435,540,1143074022701,16484
4436,540,1111538022701,16484
4437,540,1080002022701,15552
4438,540,1048379622701,14721
4439,540,1016843622701,13892
4440,540,985307622701,13737
4441,540,953771622701,13737
4442,544,1553297626683,33960
4443,544,1521761626683,24486
4444,544,1490225626683,23100
4445,544,1458689626683,23150
4446,544,1427067226683,21841
4447,544,1395531226683,20901
4448,544,1363995226683,20596
4449,544,1332459226683,20340
4450,544,1300836826683,19292
4451,544,1269300826683,18201
4452,544,1237764826683,17418
4453,544,1206228826683,17164
4454,546,1553297628672,26460
4455,546,1521761628672,16561
4456,546,1490225628672,15624
4457,546,1458689628672,15624
4458,546,1427067228672,15506
4459,546,1395531228672,14629
4460,546,1363995228672,13801
4461,546,1332459228672,13020
4462,546,1300836828672,15300
4463,546,1269300828672,18028
4464,546,1237764828672,17008
4465,546,1206228828672,16046
4466,546,1174606428672,15552
4467,546,1143074028672,15552
4468,546,1111538028672,15024
4469,546,1080002028672,14174
4470,546,1048379628672,13372
4471,546,1016843628672,12960
4472,546,985307628672,12960
4473,546,953771628672,12520
4474,547,1553297629766,42540
4475,547,1521761629766,27945
4476,547,1490225629766,26512
4477,547,1458689629766,25081
4478,547,1427067229766,25081
