id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
2382,"21007 34th Rd, Flushing, NY 11361",40,6,1737,1935,TRUE,1150000,https://www.zillow.com/homedetails/21007-34th-Rd-Flushing-NY-11361/32060365_zpid/,05:10.3
2383,"157 Anderson St, Staten Island, NY 10305",4,6,1441,1920,TRUE,499999,https://www.zillow.com/homedetails/157-Anderson-St-Staten-Island-NY-10305/32318756_zpid/,05:12.5
2384,"8900 170th St, Jamaica, NY 11432",0,6,,1975,TRUE,99000,https://www.zillow.com/homedetails/8900-170th-St-Jamaica-NY-11432/245453247_zpid/,05:13.5
2385,"2728 Kingsbridge Ter, Bronx, NY 10463",6,6,3111,2005,TRUE,1150000,https://www.zillow.com/homedetails/2728-Kingsbridge-Ter-Bronx-NY-10463/83177958_zpid/,05:14.6
2386,"547 W 47th St #530, New York, NY 10036",1,6,672,2020,TRUE,1305000,https://www.zillow.com/homedetails/547-W-47th-St-530-New-York-NY-10036/2072319513_zpid/,05:16.2
2387,"420 E 51st St APT 5C, New York, NY 10022",2,6,1250,1962,TRUE,425000,https://www.zillow.com/homedetails/420-E-51st-St-APT-5C-New-York-NY-10022/244868772_zpid/,05:17.1
2388,"854 Intervale Ave APT 10, Bronx, NY 10459",2,6,800,1931,TRUE,140000,https://www.zillow.com/homedetails/854-Intervale-Ave-APT-10-Bronx-NY-10459/215948914_zpid/,05:18.2
2389,"43 Paris Ct, Staten Island, NY 10310",3,6,,2003,TRUE,299000,https://www.zillow.com/homedetails/43-Paris-Ct-Staten-Island-NY-10310/316675090_zpid/,05:19.2
2390,"92-42 218th Pl, Queens Village, NY 11428",3,6,,1920,TRUE,629000,https://www.zillow.com/homedetails/92-42-218th-Pl-Queens-Village-NY-11428/2072480420_zpid/,05:19.9
2391,"42 Main St #5AB, Brooklyn, NY 11201",42,6,1330,2002,TRUE,1995000,https://www.zillow.com/homedetails/42-Main-St-5AB-Brooklyn-NY-11201/2072436368_zpid/,05:21.1
2392,"114 W 13th St, New York, NY 10011",40,,5165,1848,TRUE,10995000,https://www.zillow.com/homedetails/114-W-13th-St-New-York-NY-10011/31499907_zpid/,05:22.3
2393,"154 Wythe Ave, Brooklyn, NY 11249",4,6,1920,1899,TRUE,3100000,https://www.zillow.com/homedetails/154-Wythe-Ave-Brooklyn-NY-11249/30618414_zpid/,05:23.6
2394,"114 E 10th St, New York, NY 10003",6,,3440,1899,TRUE,8600000,https://www.zillow.com/homedetails/114-E-10th-St-New-York-NY-10003/31496806_zpid/,05:24.7
2395,"33-45 94th St APT 6E, Jackson Heights, NY 11372",1,6,700,1959,TRUE,279000,https://www.zillow.com/homedetails/33-45-94th-St-APT-6E-Jackson-Heights-NY-11372/80622578_zpid/,05:25.7
2396,"246 Sumpter St APT 3C, Brooklyn, NY 11233",3,6,,1900,TRUE,399900,https://www.zillow.com/homedetails/246-Sumpter-St-APT-3C-Brooklyn-NY-11233/2085394105_zpid/,05:26.7
2397,"70-23 72nd St, Ridgewood, NY 11385",5,6,,1925,TRUE,728888,https://www.zillow.com/homedetails/70-23-72nd-St-Ridgewood-NY-11385/2072816468_zpid/,05:27.4
2398,"431 E 6th St APT 4, New York, NY 10009",431,6,1100,1920,TRUE,1500000,https://www.zillow.com/homedetails/431-E-6th-St-APT-4-New-York-NY-10009/2075433769_zpid/,05:28.2
2399,"3104 Netherland Ave, Bronx, NY 10463",1,,3850,1910,TRUE,2498000,https://www.zillow.com/homedetails/3104-Netherland-Ave-Bronx-NY-10463/29851733_zpid/,05:29.0
2400,"913 Dean Ave, Bronx, NY 10465",3,6,1190,1930,TRUE,675000,https://www.zillow.com/homedetails/913-Dean-Ave-Bronx-NY-10465/29845990_zpid/,05:30.2
2401,"708 Blueberry Trl, Austin, TX 78723",12,6,3068,2020,TRUE,529000,https://www.zillow.com/homedetails/708-Blueberry-Trl-Austin-TX-78723/2072558445_zpid/,54:25.5
2402,"3113 Tilmon, Austin, TX 78725",5,6,1795,2018,TRUE,289000,https://www.zillow.com/homedetails/3113-Tilmon-Austin-TX-78725/305428294_zpid/,54:26.6
2403,"7108 Sienna Rouge Path, Austin, TX 78744",7108,6,2289,2017,TRUE,469900,https://www.zillow.com/homedetails/7108-Sienna-Rouge-Path-Austin-TX-78744/241938219_zpid/,54:27.4
2404,"914 Totis Rd #145, Austin, TX 78748",3,6,2035,2017,TRUE,370000,https://www.zillow.com/homedetails/914-Totis-Rd-145-Austin-TX-78748/251029090_zpid/,54:28.5
2405,"2500 S 5th St, Austin, TX 78704",2500,,1744,2017,TRUE,925000,https://www.zillow.com/homedetails/2500-S-5th-St-Austin-TX-78704/29474601_zpid/,54:29.6
2406,"14900 Chamberlain Ct, Austin, TX 78724",2,6,2168,2004,TRUE,275000,https://www.zillow.com/homedetails/14900-Chamberlain-Ct-Austin-TX-78724/63227989_zpid/,54:30.9
2407,"8924 Villa Norte Dr #VH60, Austin, TX 78726",183,6,2623,2012,TRUE,600000,https://www.zillow.com/homedetails/8924-Villa-Norte-Dr-VH60-Austin-TX-78726/119617769_zpid/,54:32.2
2408,"12028 Thompkins Dr, Austin, TX 78753",3,6,1185,1995,TRUE,285000,https://www.zillow.com/homedetails/12028-Thompkins-Dr-Austin-TX-78753/29434889_zpid/,54:33.4
2409,"11208 Chatam Berry Ln, Austin, TX 78748",3,6,2292,2003,TRUE,375000,https://www.zillow.com/homedetails/11208-Chatam-Berry-Ln-Austin-TX-78748/64724629_zpid/,54:34.4
2410,"2003 Crystal Shore Dr, Austin, TX 78728",3,6,2245,1984,TRUE,391000,https://www.zillow.com/homedetails/2003-Crystal-Shore-Dr-Austin-TX-78728/29447552_zpid/,54:35.4
