id,home_id,date,value
1859,175,1.49028E+12,227003
1860,175,1.45874E+12,196009
1861,175,1.42712E+12,164638
1862,175,1.39558E+12,161602
1863,175,1.36405E+12,123022
1864,175,1.33251E+12,142542
1865,175,1.30089E+12,131004
1866,175,1.26935E+12,131004
1867,175,1.23782E+12,131004
1868,175,1.20628E+12,114608
1869,175,1.17466E+12,112824
1870,175,1.14313E+12,118896
1871,176,1.55335E+12,338900
1872,176,1.52181E+12,297511
1873,176,1.49028E+12,266011
1874,176,1.45874E+12,352314
1875,176,1.42712E+12,298617
1876,176,1.39558E+12,286594
1877,177,1.55335E+12,384340
1878,177,1.52181E+12,353921
1879,177,1.49028E+12,342514
1880,177,1.45874E+12,316575
1881,177,1.42712E+12,285886
1882,177,1.39558E+12,259229
1883,177,1.36405E+12,237708
1884,177,1.33251E+12,235428
1885,177,1.30089E+12,228756
1886,177,1.26935E+12,231806
1887,177,1.23782E+12,233924
1888,177,1.20628E+12,242208
1889,177,1.17466E+12,214813
1890,177,1.14313E+12,199659
1891,177,1.11159E+12,182000
1892,177,1.0169E+12,193743
1893,178,1.55335E+12,809147
1894,179,1.55335E+12,375687
1895,179,1.52181E+12,252995
1896,179,1.49028E+12,229995
1897,179,1.45874E+12,209086
1898,179,1.42712E+12,190078
1899,179,1.39558E+12,172798
1900,179,1.36405E+12,157089
1901,179,1.33251E+12,153777
1902,179,1.30089E+12,139464
1903,179,1.26935E+12,139464
1904,179,1.23782E+12,153537
1905,179,1.20628E+12,143485
1906,179,1.17466E+12,141555
1907,179,1.14313E+12,131528
1908,179,1.11159E+12,119571
1909,181,1.55335E+12,388331
1910,181,1.52181E+12,353000
1911,181,1.49028E+12,293777
1912,181,1.45874E+12,293777
1913,181,1.42712E+12,265968
1914,181,1.39558E+12,248666
1915,181,1.36405E+12,203468
1916,181,1.33251E+12,217205
1917,181,1.30089E+12,217205
1918,181,1.26935E+12,217205
1919,181,1.23782E+12,188314
1920,181,1.20628E+12,182200
1921,181,1.17466E+12,144703
1922,181,1.14313E+12,131548
1923,181,1.11159E+12,119589
1924,181,1.0169E+12,104199
1925,182,1.55335E+12,167100
1926,182,1.52181E+12,169337
1927,183,1.58497E+12,372049
1928,183,1.55335E+12,358716
1929,183,1.52181E+12,351921
1930,183,1.49028E+12,344445
1931,183,1.45874E+12,313132
1932,183,1.42712E+12,284665
1933,183,1.39558E+12,258786
1934,183,1.36405E+12,235260
1935,183,1.33251E+12,213873
1936,183,1.30089E+12,218317
1937,183,1.26935E+12,212141
