id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
528,"8300 Larical Trl, Austin, TX 78724",4,6,1983,1965,TRUE,400000,https://www.zillow.com/homedetails/8300-Larical-Trl-Austin-TX-78724/2094203443_zpid/,08:05.0
529,"4607 Vaughan St, Austin, TX 78723",5,6,1961,2021,TRUE,856425,https://www.zillow.com/homedetails/4607-Vaughan-St-Austin-TX-78723/241934973_zpid/,08:06.0
530,"2502 Leon St APT 206, Austin, TX 78705",2,6,925,2007,TRUE,329900,https://www.zillow.com/homedetails/2502-Leon-St-APT-206-Austin-TX-78705/251033347_zpid/,08:07.0
531,"210 Lavaca St APT 2611, Austin, TX 78701",3,6,2846,2016,TRUE,3100000,https://www.zillow.com/homedetails/210-Lavaca-St-APT-2611-Austin-TX-78701/110539158_zpid/,08:08.1
532,"15304 Brenda St, Austin, TX 78728",3,6,720,1978,TRUE,315000,https://www.zillow.com/homedetails/15304-Brenda-St-Austin-TX-78728/29451632_zpid/,08:09.1
533,"Residence C1 Plan, Frank.",3,6,1639,2021,TRUE,880000,https://www.zillow.com/community/frank/2091267052_zpid/,08:09.9
534,"4313 Sinclair Ave, Austin, TX 78756",2,6,3161,2006,TRUE,1649000,https://www.zillow.com/homedetails/4313-Sinclair-Ave-Austin-TX-78756/29406138_zpid/,08:10.9
535,"2105 E 17th St, Austin, TX 78702",3,6,900,1960,TRUE,599990,https://www.zillow.com/homedetails/2105-E-17th-St-Austin-TX-78702/29388488_zpid/,08:12.1
536,"The Madison II Plan, Pioneer Hill",1,6,1698,2021,TRUE,371990,https://www.zillow.com/community/pioneer-hill/2077117435_zpid/,08:13.2
537,"Home C Plan, Frank. West",6,6,1573,2021,TRUE,970000,https://www.zillow.com/community/frank-west/2079552836_zpid/,08:14.0
538,"222 West Ave UNIT 1814, Austin, TX 78701",2,6,1322,2014,TRUE,928000,https://www.zillow.com/homedetails/222-West-Ave-UNIT-1814-Austin-TX-78701/124836749_zpid/,08:14.9
539,"Rosemont II Plan, Parker Station",1,,2733,2021,TRUE,424990,https://www.zillow.com/community/parker-station/2077636802_zpid/,08:15.7
540,"2403 Hartford Rd, Austin, TX 78703",0,0,,2403,TRUE,225000,https://www.zillow.com/homedetails/2403-Hartford-Rd-Austin-TX-78703/125901323_zpid/,08:16.8
541,"10214 Fm 1826, Austin, TX 78737",0,0,,10214,TRUE,1850000,https://www.zillow.com/homedetails/10214-Fm-1826-Austin-TX-78737/2073254636_zpid/,08:17.6
542,"44 East Ave #4504, Austin, TX 78701",4,6,2858,2020,TRUE,2800000,https://www.zillow.com/homedetails/44-East-Ave-4504-Austin-TX-78701/2082097174_zpid/,08:19.0
543,"10715 Signal Hill Rd, Austin, TX 78737",4,6,,2010,TRUE,780000,https://www.zillow.com/homedetails/10715-Signal-Hill-Rd-Austin-TX-78737/28602862_zpid/,08:19.9
544,"Terrapin Cir, Cambridge, MD 21613",800000,,,21613,TRUE,800000,https://www.zillow.com/homedetails/Terrapin-Cir-Cambridge-MD-21613/101611925_zpid/,08:20.9
545,"7601 Cooper Ln #26, Austin, TX 78745",3,6,1865,2020,TRUE,639900,https://www.zillow.com/homedetails/7601-Cooper-Ln-26-Austin-TX-78745/2072898337_zpid/,08:21.7
546,"4603 Vaughan St, Austin, TX 78723",5,6,1991,2020,TRUE,874485,https://www.zillow.com/homedetails/4603-Vaughan-St-Austin-TX-78723/241934971_zpid/,08:22.9
547,"12010 Jim Bridger Dr, Austin, TX 78737",3,6,3623,2007,TRUE,5250000,https://www.zillow.com/homedetails/12010-Jim-Bridger-Dr-Austin-TX-78737/144998126_zpid/,08:23.8
548,"4607 Ledesma Rd, Austin, TX 78721",0,0,,4607,TRUE,375000,https://www.zillow.com/homedetails/4607-Ledesma-Rd-Austin-TX-78721/144966782_zpid/,08:24.6
549,"48 East Ave #2509, Austin, TX 78701",3,6,982,2021,TRUE,806000,https://www.zillow.com/homedetails/48-East-Ave-2509-Austin-TX-78701/2075092094_zpid/,08:25.7
550,"1111 W 12th St APT 118, Austin, TX 78703",4,6,2804,1981,TRUE,2190000,https://www.zillow.com/homedetails/1111-W-12th-St-APT-118-Austin-TX-78703/29327645_zpid/,08:26.6
551,"98 San Jacinto Blvd #1703, Austin, TX 78701",1,6,1060,2010,TRUE,799000,https://www.zillow.com/homedetails/98-San-Jacinto-Blvd-1703-Austin-TX-78701/110539318_zpid/,08:27.7
552,"3105 Fritz Hughes Park Rd #D, Austin, TX 78732",4,6,3031,2012,TRUE,2250000,https://www.zillow.com/homedetails/3105-Fritz-Hughes-Park-Rd-D-Austin-TX-78732/2078877543_zpid/,08:28.7
