id,address,bedrooms,bathrooms,sq_ft,year_built,for_sale,current_price,zillow_url,last_modified
59,"116 E 70th St, New York, NY 10021",5,,6500,1901,True,23000000,https://www.zillow.com/homedetails/116-E-70th-St-New-York-NY-10021/31534975_zpid/,2021-03-22 19:25:56.589500
60,"131-16 115th Ave, South Ozone Park, NY 11420",3,6,,1925,True,235000,https://www.zillow.com/homedetails/131-16-115th-Ave-South-Ozone-Park-NY-11420/2080380845_zpid/,2021-03-22 19:25:57.528021
61,"432 Park Ave #82, New York, NY 10022",4,,8054,2015,True,90000000,https://www.zillow.com/homedetails/432-Park-Ave-82-New-York-NY-10022/2078304565_zpid/,2021-03-22 19:25:58.318051
62,"96 Crowell Ave, Staten Island, NY 10314",96,,,1925,True,829900,https://www.zillow.com/homedetails/96-Crowell-Ave-Staten-Island-NY-10314/32281344_zpid/,2021-03-22 19:25:59.387154
63,"421 Riedel Ave, Staten Island, NY 10306",2,6,1702,1975,True,550000,https://www.zillow.com/homedetails/421-Riedel-Ave-Staten-Island-NY-10306/32343067_zpid/,2021-03-22 19:26:00.592482
64,"4225 Gunther Ave, Bronx, NY 10466",3,6,1362,1925,True,539000,https://www.zillow.com/homedetails/4225-Gunther-Ave-Bronx-NY-10466/29836992_zpid/,2021-03-22 19:26:01.687741
65,"420 E 51st St APT 3D, New York, NY 10022",2,6,1250,1962,True,425000,https://www.zillow.com/homedetails/420-E-51st-St-APT-3D-New-York-NY-10022/123950252_zpid/,2021-03-22 19:26:02.755476
66,"2090 Madison Ave APT 3E, New York, NY 10037",1,6,750,1920,True,310000,https://www.zillow.com/homedetails/2090-Madison-Ave-APT-3E-New-York-NY-10037/88887595_zpid/,2021-03-22 19:26:03.641801
67,"301 E 61st St #19A, New York, NY 10065",4,,2900,2017,True,9500000,https://www.zillow.com/homedetails/301-E-61st-St-19A-New-York-NY-10065/300195837_zpid/,2021-03-22 19:26:04.721617
68,"1301 Saint Johns Pl, Brooklyn, NY 11213",4,,,2006,True,550000,https://www.zillow.com/homedetails/1301-Saint-Johns-Pl-Brooklyn-NY-11213/79708100_zpid/,2021-03-22 19:26:05.648545
69,"112-50 Northern Blvd #6B, Corona, NY 11368",2,6,,1953,True,195000,https://www.zillow.com/homedetails/112-50-Northern-Blvd-6B-Corona-NY-11368/2078635345_zpid/,2021-03-22 19:26:06.915848
70,"419 W 55th St APT 4C, New York, NY 10019",2,,1300,1911,True,1150000,https://www.zillow.com/homedetails/419-W-55th-St-APT-4C-New-York-NY-10019/72538814_zpid/,2021-03-22 19:26:07.668789
71,"123 E 61st St, New York, NY 10065",123,6,9300,1900,True,18800000,https://www.zillow.com/homedetails/123-E-61st-St-New-York-NY-10065/31534377_zpid/,2021-03-22 19:26:08.471121
72,"86-29 77th Ave, Ridgewood, NY 11385",2,6,,1940,True,599000,https://www.zillow.com/homedetails/86-29-77th-Ave-Ridgewood-NY-11385/2072831598_zpid/,2021-03-22 19:26:09.204839
73,"61 E 77th St, New York, NY 10075",1,6,49000,1920,True,599000,https://www.zillow.com/homedetails/61-E-77th-St-New-York-NY-10075/244840282_zpid/,2021-03-22 19:26:09.931737
74,"2911 D Ave, Brooklyn, NY 11226",3,6,2160,1910,True,399000,https://www.zillow.com/homedetails/2911-D-Ave-Brooklyn-NY-11226/2075897556_zpid/,2021-03-22 19:26:10.705998
75,"213-43 112th Ave, Queens Village, NY 11429",5,6,,1925,True,699999,https://www.zillow.com/homedetails/213-43-112th-Ave-Queens-Village-NY-11429/2072574406_zpid/,2021-03-22 19:26:11.503072
76,"20 W 53rd St, New York, NY 10019",1,,7381,2014,True,39950000,https://www.zillow.com/homedetails/20-W-53rd-St-New-York-NY-10019/122272179_zpid/,2021-03-22 19:26:12.345480
77,"499 Davis Ave #1, Staten Island, NY 10310",2,6,2408,1965,True,898000,https://www.zillow.com/homedetails/499-Davis-Ave-1-Staten-Island-NY-10310/2075356594_zpid/,2021-03-22 19:26:13.320951
78,"303 E 57th St APT 44G, New York, NY 10022",3,,3300,1968,True,795000,https://www.zillow.com/homedetails/303-E-57th-St-APT-44G-New-York-NY-10022/2076710336_zpid/,2021-03-22 19:26:14.234752
